zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24
BE,Belgium,0.17,0.0334263759315601,0.0002094822223009,0.0011225677714861,0.0,0.0476672590847779,0.1447552367724798,0.1468645551506215,0.6092480736600815,0.4535766590970547,0.6805772400534483,0.4141528977475501,0.1902736872883701,0.03430453454568854,0.0,0.0014930125859879673,0.00018623126645921447,0.05125939043597,0.1362149978439424,0.15382767258186472,0.6923530669234003,0.5180468395172159,0.7053547453439595,0.42530729171178683,0.17973251590845024
BG,Bulgaria,0.02,0.0001543804191486,0.0001659351945002,0.0001550420583017,0.000201672479049,0.0002534885393342,0.0002554340738773,0.000232637517472,0.0003112732867497,0.0003026183610471,0.0002630571936701,0.0002188129084354,0.0001638682982565,8.925448867770005e-05,9.590325450590303e-05,8.967019062547805e-05,0.00011662349673615503,0.00014656264556145104,0.00014803724222256178,0.0001350384906106047,0.00018092326168115663,0.00017787945237600556,0.00015475171188455877,0.00012826249903395646,9.50566152893382e-05
CZ,Czechia,0.09,0.0002429854013581,0.0,0.0020509861020819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029984010497811,0.01143949026272461,0.0,0.0030595159058803864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029983912479830586
DE,Germany,0.1,0.0171600116894913,0.0,0.0142405259776363,0.0389935175897963,0.102095922949045,0.1811196824322902,0.1468353605007979,0.3971311492304973,0.314625109857924,0.441407500731324,0.1935784495839906,0.0791540691957715,0.08396011670226007,0.06666895300453013,0.07997005454911119,0.19402441200955636,0.2436222107385316,0.450371441762385,0.446346067185897,0.7886096817109687,0.4660183092804386,0.47458812878476375,0.28100618999102633,0.1214325061655684
EE,Estonia,0.35,0.7150275881610004,0.8255459667859331,1.1697737912293251,1.5744552262396556,2.422860639073459,3.3267633285237173,3.151320278968495,2.2454254124787334,1.7189675452592006,1.4999205665275366,1.0551323699675923,0.7757530136834143,0.7115299040955663,0.8195181502541256,1.162473907595089,1.5632589795289595,2.4102307573024158,3.3151851004841175,3.0792044295994594,2.2124185624329518,1.6288661217936247,1.5001974984166264,1.0553434512035316,0.7758756342054768
IE,Ireland,0.51,0.2170496434776255,0.1897859151534973,0.302656873426076,0.4987945543387307,0.3409915410215149,0.3583303954478473,0.2476720937699825,0.4796426728615017,0.1181995473580424,0.3629590882263315,0.3469708762024511,0.2248282606767689,0.1867046279370134,0.15059858106606544,0.2612436966999975,0.44377206235386774,0.2865050975037774,0.31596089385993154,0.2219717037374382,0.4679652425272277,0.10353462300384979,0.3257438041327557,0.3334483584571107,0.20658489721188514
GR,Greece,0.57,0.0002168544129775,0.0,5.655039554633391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005025700065229,0.008066639073758134,0.0,5.4390519263535435e-05,0.00033143291723820086,0.0032530789877669862,0.0046783399943367545,0.006465364771192953,0.003171719444854211,0.028246338339616983,0.015989390143690385,0.014475471528661799,0.010660292107891657
ES,Spain,0.27,0.0,0.0,0.0006405913368886,0.0008326060651468,0.0006402034809801,0.0007105173551082,0.0,0.0004753470137507,0.0014544048894558,0.0011658620975686,0.0025937212563266,0.001406313449714,0.002326113950961997,0.00033556355894143614,0.0017808724500289522,0.0009047542213945038,0.0008200322569090554,0.0009447006492080953,0.002158229663381486,0.002979456335140622,0.0053525626812694505,0.004671828147036512,0.006454389907071215,0.0056441250191617415
FR,France,0.11,0.0547040672383707,0.0,0.0003662861434056,0.0,0.0,0.0,0.0,0.7437116275902254,0.7056608852010566,0.7495601338398447,0.3938674505168668,0.1876296804485281,0.044220811789716895,0.0,0.0008912649187997371,0.0,0.0,0.0008594950457950163,0.0015266843101346531,0.6709781656507758,0.714943283051685,0.5666848926676481,0.27419278435059974,0.0944762539442212
IT,Italy,0.16,0.0645613403229003,0.0,0.0828918713859789,0.5097600982216852,0.4700160556910858,0.693663320875482,0.5447283403342313,0.828195496871649,0.70231952444609,0.830070263095957,0.5980188476079374,0.2373835283926544,0.0868142685644902,0.0002598583594718125,0.10285278174260314,0.575111842927107,0.5825762606992864,0.7884729320093083,0.627023454650511,0.8481181743254728,0.7249439236949895,0.82259618395816,0.5802871948552579,0.24149003760040902
