4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
2.86,2.398,2.165,2.169,1.97,1.653,2.13,1.94,1.815,5.877,4.726,4.741,3.967,4.168,4.035,4.227,4.703,4.627,4.794,4.756,3.73,4.147,3.327,3.33
16.479,16.97,16.01,17.011,17.144,17.114,17.824,17.972,19.391,17.985,15.341,16.884,16.337,16.393,15.732,16.663,15.898,15.32,15.624,16.64,17.258,15.894,15.102,16.89
104.729,122.786,109.266,117.655,115.743,101.238,109.156,113.193,117.103,146.744,131.798,139.277,120.192,135.738,102.667,112.308,105.841,126.895,109.332,126.225,70.524,121.572,104.457,117.209
321,411,386,408,406,382,419,409,423,470,432,429,439,445,415,431,408,269,274,414,448,438,383,420
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.565,0.299,0.446,0.261,0.424,0.406,0.387,0.528,0.49,0.777,0.559,0.644,0.694,0.554,0.506,0.36,0.416,0.565,0.387,0.528,0.49,0.596,0.51,0.512
4,4,3,1,3.04,3.215,2.949,2.597,2.681,6,4,6,5,4,1,1,2,6,5,3,4,4,3,4
2.382,2.068,0.125,0.691,0.855,0.72,2.705,2.947,3.072,1.597,1.537,1.621,1.295,1.524,1.017,1.077,0.675,0.252,1.983,2.357,2.414,2.284,2.045,2.372
66.9,68.6,63.3,66.2,65.2,62.9,63.3,60.5,68.8,83.6,78.28,82.105,78,78.6,75.1,76.4,74.5,49.1,73.3,70.6,68.8,70.2,63.3,70.1
277,213.5,237,274,275,267,282,283,289,364,345,359,328,339,317,332,298,301,312,310,327,323,293,321
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,130,119,125,117,116.3,129.1,127.3,120.1,155,140,149,143,138,134,135,140,136,143,135,137,137,121,134
2195.012,2130.792,1527.824,1695.358,1660.199,1434.758,1276.717,1609.07,2165.553,2785.94,2254.211,2022.561,2231.707,2546.763,1728.886,1457.96,1387.803,1340.372,2022.929,2021.438,2165.553,2307.754,1915.848,2152.187
40.79,41.002,58.316,56.588,58.349,54.834,65.483,60.558,65.246,76.355,70.279,72.907,60.817,63.881,58.677,63.303,62.961,56.117,64.154,62.192,62.333,68.024,61.397,65.207
468.216,413.343,392.618,488.616,470.803,416.906,484.898,478.499,499.253,506.745,476.608,503.56,475.02,401.223,396.34,480.643,475.223,406.397,489.294,482.684,499.143,497.108,453.6,499.068
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,747,708,705,688,705,746,734,758,880,806,852,759,651,621,640,661,735,798,795,819,812,733,809
0.458,0.408,0.36,0.172,0.38,0.408,0.453,0.453,0.515,0.604,0.494,0.494,0.486,0.458,0.433,0.118,0.416,0.41,0.436,0.458,0.527,0.512,0.459,0.489
5.591,6.311,4.675,5.409,5.486,5.16,5.473,5.779,4.928,6.349,5.508,5.573,5.676,5.739,5.004,5.629,5.457,4.79,5.305,5.387,5.452,5.698,4.848,5.975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,3393,2866,3124,2907,3177,3384,3699,3742.779,3675.919,3312.481,3388.839,3509.239,3592.588,3283.528,3358.243,2797.953,2573.465,3344.297,3699,3742.779,3422,3328,3556
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,30,31,30,29,30,29,30,36,33,36,34,35,35,35,35,33,34,31,32,32,29,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1557,1603,1554,1602,1615,1577,1631,1579,1637,1688,1573,1672,1617,1665,1601,1654,1656,1582,1626,1573,1609,1613,1458,1605
145.687,129.53,121.718,29.76,138.507,138.741,136.314,135.122,136.911,203.878,183.445,195.49,185.134,174.133,173.553,169.733,165.056,121.162,149.925,151.245,156.897,144.688,140.708,153.179
