Residential,Commercial
0.94,0.94
0.94,0.94
0.94,0.94
0.93,0.93
0.93,0.93
0.93,0.93
0.92,0.92
0.91,0.91
0.9,0.9
0.89,0.89
0.9,0.9
0.9,0.9
0.9,0.9
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
0.88,0.88
