1,2,3,4,5,6,7,8,9,10,11,12
2460,1850,1708,1339,1241,990,960,930,1116,1523,1994,2052
406,324,290,250,204,176,183,151,160,183,259,334
1290,1004,849,611,566,393,399,395,485,721,910,1056
387,299,293,215,202,146,142,159,170,246,299,298
12995,10669,9450,6512,6111,3639,5287,4040,5220,7260,9827,10782
74,53,53,34,26,16,17,19,24,36,44,65
679,495,382,361,328,396,482,443,433,410,383,442
3575,2936,2769,2716,2751,2738,3041,2960,2743,2960,3101,3109
6426,4842,4236,3213,2659,1813,1859,1590,1969,2922,4901,5184
397,313,242,203,204,149,170,183,185,268,331,339
10598,8064,6992,5536,4922,4327,4982,4174,4766,5219,6692,8044
206,139,132,81,70,72,72,102,118,114,127,129
286,216,216,201,132,162,113,100,143,195,220,236
107,85,82,63,57,41,39,34,44,61,83,84
1673,1220,989,709,639,381,418,450,537,809,1029,1379
5613.035,4398,4394.375,3221.701,3236.166,2480.778,2689.75,2693.938,2978.469,3788.793,4598.044,4819.464
1314,1005,830,670,587,412,453,496,641,809,961,1089
2586,2083,2119,1721,1528,1177,1277,1332,1351,1759,2027,2351
498,441,381,448,513,555,587,543,529,542,529,461
1860,1445,1162,844,577,373,499,533,592,851,1052,1452
119,95,88,72,68,50,50,50,50,50,50,50
644,552,611,332,309,242,268,253,62,481,508,409
384,278,269,213,155,155,153,150,170,208,208,226
9997,7994,7803,6464,5490,4625,4238,3775,4140,6832,8696,8911.776
43,27,12,8,4,27,37,31,35,20,21,46.264
437,348,258,161,150,133,144,134,150,165,246,330
175.5,144.4,111.7,63.7,44.5,39.5,28.6,28.4,33.5,59.1,148.5,185.2
4348,3830,3297.064,2101,1694,1606,1539,1537,1526,2078,3700,4492
509,416,493,484,480,433,443,371,382,403,515,485
