1,2,3,4,5,6,7,8,9,10,11,12
2215,1938.3,1873.6,1161.2,1149.3,1097.8,1203.8,1076.1,1127.7,1497.2,1773.4,2162.6
360.287,316.337,301.987,231.398,184.99,173.283,170.575,156.315,170.758,246.599,323.38,384.111
1217.778,982.813,919.437,582.257,498.132,413.656,425.296,403.803,424.772,748.684,1026.48,1177.915
306.725,302.758,297.487,226.707,194.919,169.537,145.942,146.58,178.598,232.791,279.405,335.981
11635.709,9593.787,9889.998,5393,5529.806,4529.803,4388.111,4287.749,5143.642,7533.737,9757.998,11606.609
53.9,49.7,50.6,36.9,25.9,16.5,17,18.5,22.6,29.6,40.6,59.2
611.324,485.308,456.894,375.729,372.205,443.439,549.808,510.795,470.844,439.259,510.55,604.735
3492,2855,2585,2115,2005,2245,2675,2665,2585,2503,2826,3187
5623.079,4511.826,4243.432,2097.061,1955.508,1879.555,1805.971,1615.409,2014.428,3321.203,4226.437,5268.869
390.3,303.76,296.651,195.674,192,181.7,195.2,186.425,201.198,269.277,335.5,354.8
9692,7566,6692,4268,3743,4094,4784,4110,4822,5346,6950,8853.4
122.459,121.27,105.723,80.389,69.243,69.251,40.201,74.353,61.867,78.619,115.779,150.689
258,231.7,172.7,216.9,235.6,173.4,180.8,151.5,140.5,193.3,223.3,257.1
94.98,82.813,75.134,47.748,44.922,36.77,34.708,34.708,39.545,62.859,75.828,83.52
1665.537,1248,1129.608,698.505,521.507,436.483,460.503,437.391,508.424,885.435,1240.511,1366.47
5253.934,4590.817,4329.204,2952.482,2890.136,2646.786,2954.949,2913.123,2840.082,3598.494,4014.963,5083.39
1280.803,937.36,903.939,590.152,475.169,392.105,426.415,415.155,484.511,774.436,983.052,1160.767
2401.468,2200.646,2207.76,1678.83,1492.981,1295.133,1338.568,1341.348,1423.241,1869.921,2196.974,2545.86
581.962,519.791,447.835,362.218,385.449,447.829,578.712,545.85,595.745,548.997,528.362,443.818
1772,1397,1158,787,601,561,609,614,634,789,1351,1562
116.304,92.294,92.094,66.286,53.358,45.033,51.718,49.416,56.91,76.136,101.358,104.527
510.68,479.977,439.326,413.248,472.703,249,325.039,457.686,234.9,316.292,499.161,478.871
255,230.5,238.5,183,164,166,155,169,203,202.5,209.5,254.5
8418.758,8035.844,8029.466,4989.133,4290.628,3912.45,4129.338,3990.099,4457.989,6442.073,8696,8911.776
40.58,25.888,15.554,12.51,3.506,18.29,35.713,36.72,36.959,22.496,45.016,46.264
380,294,270,176,126,120,129,106,139,216,307,373
175.5,144.4,111.7,63.7,44.5,39.5,28.6,28.4,33.5,59.1,148.5,185.2
4348,3830,3297.064,2101,1694,1606,1539,1537,1526,2078,3700,4492
505.878,465.445,492.49,432.134,439.133,417.553,436.733,438.056,423.162,438.925,465.245,514.897
