Residential,Commercial
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
0.92,0.92
