1,2,3,4,5,6,7,8,9,10,11,12
0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.2
4.147,3.327,3.33,2.86,2.398,2.165,2.169,1.97,1.653,2.13,1.94,1.815
15.894,15.102,16.89,16.479,16.97,16.01,17.011,17.144,17.114,17.824,17.972,19.391
121.572,104.457,117.209,104.729,122.786,109.266,117.655,115.743,101.238,109.156,113.193,117.103
438,383,420,321,411,386,408,406,382,419,409,423
0,0,0,0,0,0,0,0,0,0,0,0
0.596,0.51,0.512,0.565,0.299,0.446,0.261,0.424,0.406,0.387,0.528,0.49
4,3,4,4,4,3,1,3.04,3.215,2.949,2.597,2.681
2.284,2.045,2.372,2.382,2.068,0.125,0.691,0.855,0.72,2.705,2.947,3.072
70.2,63.3,70.1,66.9,68.6,63.3,66.2,65.2,62.9,63.3,60.5,68.8
323,293,321,277,213.5,237,274,275,267,282,283,289
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
137,121,134,125,130,119,125,117,116.3,129.1,127.3,120.1
2307.754,1915.848,2152.187,2195.012,2130.792,1527.824,1695.358,1660.199,1434.758,1276.717,1609.07,2165.553
68.024,61.397,65.207,40.79,41.002,58.316,56.588,58.349,54.834,65.483,60.558,65.246
497.108,453.6,499.068,468.216,413.343,392.618,488.616,470.803,416.906,484.898,478.499,499.253
0,0,0,0,0,0,0,0,0,0,0,0
812,733,809,774,747,708,705,688,705,746,734,758
0.512,0.459,0.489,0.458,0.408,0.36,0.172,0.38,0.408,0.453,0.453,0.515
5.698,4.848,5.975,5.591,6.311,4.675,5.409,5.486,5.16,5.473,5.779,4.928
0,0,0,0,0,0,0,0,0,0,0,0
3422,3328,3556,3312,3393,2866,3124,2907,3177,3384,3699,3742.779
0,0,0,0,0,0,0,0,0,0,0,0
32,29,31,30,31,30,31,30,29,30,29,30
0,0,0,0,0,0,0,0,0,0,0,0
1613,1458,1605,1557,1603,1554,1602,1615,1577,1631,1579,1637
144.688,140.708,153.179,145.687,129.53,121.718,29.76,138.507,138.741,136.314,135.122,136.911
