Residential,Commercial
1,1
1,1
0.99,0.99
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
0.98,0.98
