Residential,Commercial
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
0.96,0.96
