zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24
BE,Belgium,0.17,0.2442979452422695,0.065707899887964,0.04710035755361,0.1282907520164896,0.5713643132273444,1.247252769719692,1.02325016452213,1.382533825743419,0.9353803059349344,1.0449394477220382,0.7117248052259221,0.5400815645229267,0.1919652590800296,0.0006883855740839111,0.036256243379657035,0.10567597062697592,0.46790061198002475,1.0684991972199382,0.878125454716045,1.5430581224151552,1.1100576014270156,1.2019698308178206,0.8178223339517385,0.5755844191709528
BG,Bulgaria,0.02,0.0002770153407837,0.0002993452103865,0.0002807994921714,0.0003661668672918,0.0004594387439418,0.0004647914800549,0.0004173512232456,0.0005575264488556,0.0005532767416797,0.0004761684066666,0.0003909236129527,0.0002943981932349,0.0012796120094157753,0.0013850091355770543,0.001286377442995033,0.0016645520688870596,0.0020934038168120518,0.002128460995248212,0.0019136601089759053,0.00254501636663209,0.002508428444203493,0.0021641923952104352,0.0017905344121186345,0.0013403300644554991
CZ,Czechia,0.09,0.0530614252965018,0.0327018366343593,0.1192189862220491,0.3901028748418499,0.6902171384716965,0.4055167506527002,0.1367120470006796,0.0206908044363892,0.0,0.0,0.0,0.0029986053244219,0.050745243750469494,0.029666256927250594,0.09867836449557682,0.3788039653974496,0.7112124231157926,0.44291312368089053,0.20104680778731518,0.02086487180750241,0.0,0.0,0.0,0.0028780665061361402
DE,Germany,0.1,0.4299167801200669,0.3636495876022768,0.3458009064158517,1.024610595364664,1.6338997674133449,2.1811050241398684,1.5439237802748351,1.8086314635863776,1.0411862520075796,0.966398248014166,0.7513594501046869,0.4983461737854284,0.5161438636573633,0.38588703267623564,0.37847911785732247,1.080591351897313,1.7757065198607291,2.395242542740249,1.8577526923422332,2.377753660957156,1.5939934364235127,1.2198870962798394,0.9930496602232941,0.5939691608627894
EE,Estonia,0.35,1.0283726662591204,0.8162450206634891,1.1567831985657342,1.5550327393465764,3.0633812946380807,5.42692371481613,5.778173933293576,4.617351540513153,3.313090291572413,3.728845916048591,2.5009778590413867,1.499300133756107,0.9567073637561452,0.7948331099447119,1.149118036060603,1.5402657307461984,3.010069480735154,5.086383229280119,5.615611796507236,4.4067600574606605,2.8767979849371166,3.512230551261115,2.323136072506011,1.269305222403098
IE,Ireland,0.51,0.3965651131117734,0.3907233971349095,0.5634217953586819,0.861043343250323,0.6887554751722796,0.7102917319641429,0.4509995341671926,0.803448475736821,0.2201714670265107,0.5855510301640371,0.561829482543529,0.4164926804837259,0.3444853708475364,0.3323260524265876,0.5150872513779046,0.7976671277146352,0.6109547761915841,0.6406373718177947,0.40563817922802603,0.7594905132883726,0.1976012118614264,0.554398975462065,0.5550744264106923,0.3936817292806207
GR,Greece,0.57,0.0304239164059434,0.0110130415804138,0.0145932376469378,0.0210799953301445,0.0309062526550978,0.0233445764926833,0.0706047218989263,0.1049861124859474,0.2852337653298449,0.2327016567888128,0.1626971604249637,0.0878167145435064,0.05910414014274334,0.07357459504758024,0.19090861091490954,0.30304172762387843,0.37454810087809326,0.22109337447573393,0.14706741726756514,0.22006764056591926,0.5972228463638107,0.49134565102726097,0.3066474325478695,0.13112653231141858
ES,Spain,0.27,0.2369983617614391,0.2688275842782681,0.2460485388933548,0.3973026620110271,0.2983986758649599,0.3205375511528435,0.323987246631451,0.3209695781498591,0.4863202181309292,0.3768524171800748,0.2948767346897543,0.1937649402923393,0.20639439199164739,0.19225693099310245,0.15979028798688413,0.25554459926486556,0.22524817145740064,0.24307171893218885,0.23638298359776774,0.2664920591046689,0.39811432237464445,0.35546375524218016,0.28874054196018684,0.22792418044381252
FR,France,0.11,0.1217030924488856,0.0,0.0008352888890011,0.0,0.0388340246691287,0.2016048199954004,0.3166181172809351,1.4472837399121763,1.3969947579058877,1.1375605069544783,0.6784766431330951,0.3684426813092425,0.09041877499290188,0.0,0.0008924547904551551,0.0,0.03943320295906044,0.1676537888265004,0.24515838234398812,1.3076693576842757,1.333967270465825,1.0067300773062902,0.6022680210268644,0.26607529518382533
IT,Italy,0.16,0.6342850314018214,0.5735625957036548,0.9023936102336856,2.344551422364132,2.864992370762338,3.167571776605288,2.397993940484898,2.7956723722947765,2.111151922361372,2.2147096323016835,1.6959594408264784,0.9281515998523796,0.6399601823116207,0.555298250342139,0.8381281673902016,2.3217743232134853,2.9252063258262098,3.204901173067581,2.435867419908734,2.899688693366635,2.1407643280694058,2.2505847274149393,1.71444812745345,0.974605187641983
HU,Hungary,0.08,0.1173997166586464,0.103952675644658,0.1901814070769323,0.3278866929173232,0.4508708121767426,0.781568549046299,0.6614129149222814,0.2731086017679864,0.2254342853781232,0.1484731004076721,0.092089472425774,0.0623579321797341,0.13774580101688533,0.10138244476618537,0.16717816525540233,0.33549042361657194,0.6642373401175004,1.0804718186195987,0.8193635035914943,0.3778751135683091,0.3403043058865105,0.20948571667647226,0.14016529356159876,0.08466869659303461
NL,Netherlands,0.21,0.2719521247017111,0.2404130062813636,0.2492738764951771,0.6321847193125403,0.8086641516612612,1.199357991018665,0.8383024369596209,1.2818321894701412,0.7875681390616879,0.9251309193391768,0.7546036760303939,0.3759587234271929,0.25447059213574785,0.18790838646961597,0.20509934801094448,0.4730160590431224,0.6891122525862504,1.112964190048908,0.8049366699475492,1.5831633511572336,0.9323586290622545,1.2078550345823837,0.8826177485086685,0.4143715685702888
AT,Austria,0.13,0.4015763576137958,0.0024179980311719,0.0045613876520946,0.1296373996282711,0.9223621268754222,1.7303840037040543,1.569152936068536,2.0507426405670297,1.4485415225701637,1.1457032653011685,0.9316904695699824,0.6282969212572961,0.518627244752649,0.0,0.003463333997174884,0.11249668148492897,1.2101544721544772,2.252080722131977,2.157494017017565,3.0269455675743386,2.3725475625881227,1.827385510428442,1.4205271056708233,1.0332495241591246
PT,Portugal,0.39,0.2653336391939281,0.8812700549719567,1.0987906328135544,1.456030044681801,1.541550321274132,1.175320490359296,1.0552798416452676,1.1129022806247162,1.1827888431029034,0.7059048658017981,0.5411304690129567,0.29645081879895,0.16495384841426738,0.5434252151646332,0.7287005722767049,1.074389272361828,0.9681759268236091,0.9819182321767451,0.817412044692954,0.8747270714597658,0.9349986576206363,0.5327001989001596,0.45371831971542237,0.15225568693989688
RO,Romania,0.11,0.0030836887270606,0.0,0.0011100297575319,0.0020025921431595,0.0066586397802229,0.0035202156155369,0.0067580866525558,0.0,0.0,0.0,0.0,0.0028135644919918,0.008043520208516933,0.00566124187999183,0.00572923992629295,0.006815347843157157,0.01820072926119174,0.05027031414201472,0.042201023794973265,0.006854525189136165,0.0015079263594854773,0.0008859855000450553,0.0008266689348622615,0.0031860781721404744
SK,Slovakia,0.07,0.280214602419125,0.078435473052148,0.2001547579676731,0.2062022616741375,0.414000836549026,0.7966358700933743,0.7064068254389116,0.4568326785417305,0.8848512335509895,0.5117225486657322,0.3157999455753609,0.2152197558435648,0.3382008601901364,0.050229949932637394,0.14541323352989122,0.16053211602960463,0.48372502245743465,0.995296286974312,0.898103456148181,0.7201877275411785,1.3247698966415038,0.7062757485990075,0.5068903980239585,0.29563006978925493
FI,Finland,0.06,0.0,0.0040830613622506,0.0,0.0,0.0,0.0,0.0,0.0128947793548213,0.0557080778424697,1.868014108599221,2.3551597996387748,1.0404465697225074,0.0,0.0040993836268965805,0.0,0.0,0.0,0.0,0.0,0.0,0.04127474434367503,0.2903748201966443,0.03659791344856978,0.04019085110755399
GB,UK,0.31,0.4752866022495706,0.4001473584277224,0.5082431937366501,0.7768480238122965,0.7535668080082053,1.041237631036257,0.8305822806331652,1.7151357209309368,0.9990175158693904,1.0709829293254676,0.8733590882402286,0.793855975607928,0.431766421416215,0.35414374567305956,0.4640422327884617,0.7271445351482451,0.6716423950487947,0.937612881775535,0.6939995356987163,1.6283058325388373,0.8967996312914824,1.0383913883394396,0.8749526376040522,0.7176463372364097
