zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24
BE,Belgium,0.17,0.3429212336579132,0.1888480612087583,0.086081554270587,0.3509091814661551,0.7215399371316773,1.360147434215343,1.1368982259317455,1.382761708977711,0.9257491253478728,1.0496724649587132,0.696960421694987,0.5278991776829609,0.22877790100408205,0.03629197485847373,0.050315277601787965,0.18735228079529942,0.5299004020013136,1.1442029600031,0.9665712541986294,1.4148342507444975,0.9667400853532531,1.0589499283838018,0.719722599156747,0.5326647801164726
BG,Bulgaria,0.02,0.0005715283174123,0.0006146411571687,0.0005792813620211,0.0007572256560367,0.0009493900679411,0.0009555941700114,0.0008622671439348,0.0011567276085622,0.0011613607586919,0.0010033609669303,0.0008211813235452,0.0006081557924943,0.00010509111515725868,0.00011384295953363987,0.00010697777503609138,0.00013947571210865008,0.00017522701738087684,0.00017696447131905032,0.00015971236655156957,0.0002135231858420308,0.0002123592066045479,0.00018346364349787798,0.00015091016141029716,0.00011257002481940166
CZ,Czechia,0.09,0.0681141985172581,0.055503869410176,0.1377868483070326,0.3947876597509315,0.5403408872449532,0.2533318205086052,0.094921561759354,0.0109391005997232,0.0,0.0,0.0,0.0029988498807158,0.05022038329157118,0.03379004893457116,0.13125875274586435,0.3447069008620133,0.5917985645360611,0.3472595110125375,0.1207255656158861,0.017895840271252184,0.0,0.0,0.0,0.002876061481195572
DE,Germany,0.1,0.5051998967877739,0.5285065908178938,0.4906407097360808,1.2825566261872807,1.7780567065132895,1.9640511356006336,1.4599412184767684,1.320183117552888,0.8570910090625058,0.7635653554219627,0.4568604468800974,0.4516437510466999,0.5314729858293791,0.49787507188689245,0.46295093847918733,1.3523450782629955,1.9242472621381972,2.3062848681012826,1.7531790450309257,2.0537692145721533,1.2271114683475721,1.1035179431248914,0.85063664956352,0.5802893805664328
EE,Estonia,0.35,1.097978030004334,0.8231981321124687,1.1646734725175074,1.5684713357956486,3.40265790043665,5.896334247408525,6.120088430525197,4.838192230377996,3.4894069787168918,3.8765250279363137,2.603893970835462,1.736372016647654,1.0713956100703022,0.8172168056866705,1.1575091064425134,1.554823021064169,3.3166345923344576,5.739270711615632,5.764804933735595,4.608027298304371,3.1668391109342733,3.805320919922246,2.530785082081873,1.620592893626871
IE,Ireland,0.51,0.422144388840092,0.4134668569185108,0.5883727281136438,0.6352386338977427,0.7254325239915902,0.7519341630269704,0.4902843030110685,0.8351123683418084,0.2360607346931849,0.6175936672769784,0.5869637256086457,0.4386092371594409,0.3639075139423365,0.3526808612323608,0.5403363764406944,0.8337319478756889,0.645414367123195,0.6774846846363273,0.4310996840660648,0.7886133051248274,0.21396275204263598,0.5823508024764472,0.5699996878941034,0.41890616207727505
GR,Greece,0.57,0.053860704470146,0.0198606862669516,0.0376364906169417,0.1028634321928702,0.1791913156742217,0.1157329650215104,0.107603714813685,0.162497376167096,0.4698155304943556,0.3634301279555204,0.238510947862545,0.1330405853277128,0.042692799745408454,0.016481444969188568,0.024120052308125653,0.0838832902662055,0.16077423357454462,0.10535361458120654,0.098406773946167,0.1450798426098969,0.426635974997468,0.3040859239269035,0.21167917815949575,0.12331118604977297
ES,Spain,0.27,0.2861381830723364,0.3408081574041016,0.3406544837594947,0.5523877082724478,0.4802871994400902,0.5181418448379677,0.4476062814313507,0.3887790725493763,0.6311101596211016,0.441663322480527,0.3297190570756194,0.2252494874195456,0.19455223197284896,0.22304424374791446,0.18217827992259492,0.2896684989354792,0.24888916674673456,0.26978211414299313,0.2629998673644008,0.2726708357898078,0.43484055510874187,0.3593043942200908,0.29085179509751014,0.1925441716479243
FR,France,0.11,0.1059192606982038,0.0,0.0008714709977045,0.0,0.0465579554331782,0.3100171853184787,0.5427052820876026,1.491101145432568,1.5014809260999848,1.1372639617299152,0.6680384508572464,0.3399103949778866,0.10580807023941369,0.0,0.0008818920420061206,0.0,0.04054588183595731,0.1597911945826069,0.2583920868243933,1.3129939061302982,1.3023330857293192,0.9618116389711427,0.5347958289579379,0.2851509816007182
IT,Italy,0.16,0.6850220591124984,0.6367622846823001,0.9966059017431256,1.9480675899965965,2.2160662770723727,2.523558707196544,1.9398949213244632,2.3650857873525486,1.8437695695558765,1.6800568327950476,1.2087186260380702,0.8202027571975924,0.6595315243294091,0.5962812545408903,0.9470585050577891,2.428157603159761,2.951316598356944,3.255267262163804,2.4583169960764164,2.8621927002652905,2.1453655550414568,2.2676446633088228,1.7206731119128111,0.9507574549460396
