x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,Country
-0.02269645514000007,-0.04707241820999997,-0.18609879644722138,-0.19340523832,-0.19655623986499993,-0.1996841289250001,-0.19962493360372902,-0.1871523148812987,-0.16290111690039222,-0.12728224287729162,-0.18020082374297153,-0.1988456218886564,-0.1995841038670737,-0.19968412892499987,-0.1994279414767316,-0.19968412892499998,-0.19968412892499998,-0.19952331606619067,-0.19828227663537823,-0.14070144382925565,-0.15492278707386165,-0.12902913870557542,-0.16877676912339779,-0.18828950817785184,Belgium
-0.01080459872000017,-0.01908046079999992,-0.04125228718091134,-0.047225708323604954,-0.05354355979211112,-0.05446283020169984,-0.05446484330437085,-0.054458885177397165,-0.05445980357078439,-0.05446282090410426,-0.054466105148907595,-0.05447015085285345,-0.05448036232822295,-0.05448019050847819,-0.05448032811008119,-0.05447958164205979,-0.054478759466444204,-0.054478703855635136,-0.05447908877942864,-0.05447785662041016,-0.05447797625060691,-0.05447859558198742,-0.054479311029736466,-0.05448018830290746,Bulgaria
-0.016755161279999986,-0.03297935009999997,-0.1079537155671989,-0.11522123822999997,-0.11896755092000011,-0.12256637097999978,-0.1225663709799999,-0.12256637098,-0.12256637098,-0.12256637098,-0.1225663709799999,-0.12229217881065368,-0.1225445062212075,-0.12256637098,-0.12228920239832752,-0.12256637098,-0.12256637098000012,-0.12256637097999978,-0.1225663709799999,-0.12256637098,-0.12256637098,-0.12256637098,-0.1225663709799999,-0.12229218232082406,Czechia
-0.007894736850000084,-0.01568421053000002,-0.01789473684999987,-0.025684210529999918,-0.030052631585000156,-0.033526315795000095,-0.033526315795000095,-0.033526315795000095,-0.033526315795000206,-0.033526315795000095,-0.03352631579499987,-0.033526315794999983,-0.033526315795000206,-0.033526315795000095,-0.033526315795000095,-0.033526315794999983,-0.033526315795000095,-0.033526315795000095,-0.033526315795000095,-0.033526315795000095,-0.033526315795000206,-0.033526315795000095,-0.03352631579499987,-0.033526315794999983,Denmark
-0.01702988227000002,-0.03386960455999999,-0.11173310194621622,-0.11922124947000012,-0.12261545411999997,-0.12661786885000015,-0.12661786885000004,-0.12661786885000015,-0.12661786885000004,-0.12579328159911773,-0.12661786884999993,-0.12641677142129926,-0.12654786677468566,-0.12661786885000004,-0.12638145038469284,-0.12661786885000004,-0.12661786884999993,-0.12477433517630288,-0.12335113576201073,-0.12205006847041255,-0.1201716061581003,-0.12278641089480669,-0.12494252616019441,-0.12617634422677249,Germany
-0.04192307790000005,-0.08038461634000005,0.041787405321010995,0.1708345498135918,0.4200429095645126,0.6358461636457133,0.46878030900318346,0.23736381582938182,0.1043042632325023,0.12396517422960995,-0.007165930746449001,-0.10347197402854591,-0.141304017486231,-0.09039827377006782,0.028869180329316402,0.1640747977417606,0.458444580727442,0.7623535848755723,0.6620713894173424,0.36032925683819017,0.15691462115392507,0.14843845189472926,-0.004276361560387909,-0.10096437052800422,Estonia
-0.060250000000000026,-0.12054999999999993,-0.5775116325709834,-0.58085,-0.582875,-0.584125,-0.584125,-0.584125,-0.584125,-0.584125,-0.584125,-0.5838358800300356,-0.5840034193614513,-0.584125,-0.5840945583917296,-0.584125,-0.584125,-0.584125,-0.584125,-0.584125,-0.584125,-0.584125,-0.584125,-0.5838430208344787,Greece
-0.03116319345000007,-0.06396701289000006,-0.2790280610533291,-0.28507590063869837,-0.28850782762517735,-0.29034523377264065,-0.2904296864350001,-0.290429686435,-0.2903446443099892,-0.2904088684454702,-0.2904017787337274,-0.29021957494506456,-0.290429686435,-0.290429686435,-0.29015410995202273,-0.2903735246673801,-0.29042791291857817,-0.29031446513018344,-0.290341752200987,-0.2899775217384738,-0.29005106647872025,-0.289690722932995,-0.28908576976217104,-0.28906400337014493,Spain
-0.017625754530000037,-0.03702883970999993,-0.12905875539620348,-0.13710261573000004,-0.13970824953500005,-0.14421529178500003,-0.14421529178500014,-0.13811610662838858,-0.1115830107777448,-0.09962146313221121,-0.13298431649029352,-0.14388756841632622,-0.14421529178500003,-0.14421529178499992,-0.14417377010467103,-0.14421529178499992,-0.14421529178500003,-0.14421529178500003,-0.14421529178500014,-0.12808073187691105,-0.11092028991148861,-0.11342196312450936,-0.13767153853472347,-0.1440997261403959,France
-0.009200000000000097,-0.015999999999999903,-0.019199999999999995,-0.026000000000000023,-0.031199999999999894,-0.03400000000000014,-0.03400000000000003,-0.03399999999999992,-0.03400000000000003,-0.03400000000000003,-0.03400000000000014,-0.03400000000000014,-0.03400000000000003,-0.03400000000000003,-0.03400000000000014,-0.03400000000000003,-0.03399999999999981,-0.03400000000000014,-0.03400000000000003,-0.03399999999999992,-0.03400000000000003,-0.03400000000000003,-0.03400000000000014,-0.03400000000000014,Croatia
-0.025051887800000117,-0.04645911076000009,-0.1743882611086418,-0.15266230387801483,-0.17901053512285248,-0.18582526226756568,-0.18717887936189193,-0.1835451477333384,-0.17404890190698885,-0.15800275574088263,-0.17613515625755527,-0.1872989793509222,-0.1878847771591058,-0.18795765823,-0.18763782056044276,-0.15660088849665166,-0.17465197660819176,-0.14562133199076777,-0.17423006649742534,-0.14575105536444077,-0.14506229404750115,-0.13462221672418917,-0.15162898583888462,-0.18445290233780454,Italy
-0.015263158880000072,-0.01894736939999997,-0.025263158869999858,-0.028947369389999977,-0.03578947464999993,-0.03842105359000003,-0.03842105359000003,-0.03842105359000003,-0.03842105359000014,-0.03842105358999981,-0.03842105358999992,-0.03842105359000003,-0.03842105359000014,-0.03842105359000014,-0.03842105359000014,-0.03842105359000003,-0.03842105359000003,-0.03842105359000003,-0.03842105359000003,-0.03842105359000003,-0.03842105359000014,-0.03842105358999981,-0.03842105358999992,-0.03842105359000003,Latvia
-0.005249999999999866,-0.013249999999999873,-0.015249999999999986,-0.023250000000000104,-0.02862499999999979,-0.029874999999999985,-0.029874999999999874,-0.029874999999999874,-0.029874999999999874,-0.029875000000000096,-0.029874999999999874,-0.029874999999999985,-0.029874999999999985,-0.029874999999999874,-0.029874999999999985,-0.029874999999999985,-0.029874999999999874,-0.029874999999999985,-0.029874999999999874,-0.029874999999999874,-0.029874999999999874,-0.029875000000000096,-0.029874999999999874,-0.029874999999999985,Lithuania
-0.007407408400000093,-0.016296297279999927,-0.0174074083900001,-0.026296297269999935,-0.029259260230000028,-0.034444445410000024,-0.034444445410000024,-0.03444444540999991,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.03444444540999991,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.03444444540999991,-0.034444445410000024,-0.034444445410000024,-0.034444445410000024,-0.03444444540999991,Luxembourg
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Hungary
-0.027263406930000067,-0.05391167190000001,-0.2201826448272194,-0.22652208188,-0.2299684541200001,-0.23289432163000012,-0.23289432163000012,-0.23186289391678327,-0.2233320890915751,-0.1956561769260955,-0.23051756997281825,-0.23245120886477588,-0.23253768086750415,-0.23289432163,-0.23250095800049408,-0.23281468867777677,-0.23011106649408608,-0.2256487092835172,-0.22647528994477695,-0.20399248585988383,-0.20512444937042662,-0.19120679979705035,-0.21726683446714745,-0.22790882374690202,Netherlands
-0.01885885984000002,-0.038618619580000124,-0.14367017398326776,-0.15063063148,-0.1548048056500001,-0.1570270278699999,-0.1570270278699999,-0.1570270278699999,-0.15702702787,-0.1570270278699999,-0.15702702787,-0.1568093605622558,-0.15702702787,-0.1570270278699999,-0.156904049515889,-0.15702702787,-0.15702702787,-0.1570270278699999,-0.1570270278699999,-0.1570270278699999,-0.15702702787,-0.1570270278699999,-0.15702702787,-0.15681354236541145,Austria
-0.007281421750000017,-0.015068306990000058,-0.017281421739999803,-0.025068306979999955,-0.029747268724999998,-0.032602459975,-0.03260245997499989,-0.032602459975,-0.03260245997499989,-0.032602459975,-0.032602459974999776,-0.032602459975,-0.032602459975,-0.03260245997500011,-0.032602459975,-0.03260245997500011,-0.032602459975,-0.032602459975,-0.03260245997499989,-0.032602459975,-0.03260245997499989,-0.032602459975,-0.032602459974999776,-0.032602459975,Poland
-0.0452884615200001,-0.0883173076499999,-0.40615384593000003,-0.4097596151599999,-0.41353365362499994,-0.41449519208499996,-0.41449519208499996,-0.41449519208499996,-0.4144951920850001,-0.41449519208499996,-0.41449519208499996,-0.4140741623265892,-0.4144951920850001,-0.41449519208499996,-0.4144685852819996,-0.41449519208499985,-0.41449519208499996,-0.41449519208499996,-0.41449519208499996,-0.41449519208499996,-0.4144951920850001,-0.4142360993691486,-0.41162811298348023,-0.41078496393552555,Portugal
-0.01802056558999987,-0.03565552707000008,-0.12181324396845394,-0.12892030889000006,-0.13242930631500016,-0.1362082266250001,-0.1362082266250001,-0.1362082266250001,-0.1362082266250001,-0.13620822662499998,-0.13620822662499998,-0.13594838221004457,-0.13603924487720287,-0.13620822662499998,-0.13619908255734425,-0.1362082266250001,-0.13620822662499998,-0.1362082266250001,-0.1362082266250001,-0.1362082266250001,-0.1362082266250001,-0.13620822662499998,-0.13620822662499998,-0.13595042569917193,Romania
-0.005666667660000013,-0.01366666765000002,-0.01566666764999991,-0.023666667639999917,-0.028833334304999902,-0.03050000096499983,-0.030500000964999607,-0.03050000096499994,-0.03050000096500005,-0.03050000096499972,-0.03050000096499983,-0.03050000096499983,-0.03050000096499994,-0.03050000096500005,-0.03050000096500005,-0.03050000096499994,-0.03050000096499994,-0.03050000096499983,-0.030500000964999607,-0.03050000096499994,-0.03050000096500005,-0.03050000096499972,-0.03050000096499983,-0.03050000096499983,Slovenia
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Slovakia
-0.015257732940000102,-0.026391753539999896,-0.08030927923000009,-0.08525773282999993,-0.09206185654000021,-0.09226804209999995,-0.09226804210000017,-0.09226804210000017,-0.0913206293307326,-0.08338482369915012,-0.09201330995135726,-0.09060112198695969,-0.09226804210000006,-0.0920104312933715,-0.09226804209999995,-0.09226804210000006,-0.09226804209999995,-0.09226804209999995,-0.09226804210000017,-0.09226804210000017,-0.09165962998728139,-0.08070093436925263,-0.09121434650197235,-0.09012580015179172,Finland
-0.036906795349999966,-0.07435573701000009,-0.2203274116995656,-0.17428682685960528,-0.1942059927743779,-0.14566311880816185,-0.2120407746203199,0.014449005624727507,-0.1584890346258888,-0.08128767750696053,-0.13064535533711463,-0.17463175627729732,-0.2507842664732933,-0.27253172991833574,-0.2445297949997467,-0.19703376497713843,-0.21281041843927273,-0.15806694841829694,-0.23293719677364455,-0.02217704142128063,-0.18530348808088182,-0.11022454829021344,-0.14979257813939062,-0.1953704969043264,UK
-0.017777777780000004,-0.018888888890000066,-0.027777777780000013,-0.028888888890000186,-0.038333333334999886,-0.03833333333500011,-0.038333333334999886,-0.03833333333500011,-0.03833333333500011,-0.03833333333500011,-0.038333333335,-0.038333333335,-0.038333333335,-0.03833333333500011,-0.03833333333500011,-0.03833333333500011,-0.038333333334999886,-0.03833333333500011,-0.038333333334999886,-0.03833333333500011,-0.03833333333500011,-0.03833333333500011,-0.038333333335,-0.038333333335,North Macedonia
-0.009101123600000038,-0.015505617979999942,-0.019101123599999936,-0.02550561797999984,-0.031348314610000094,-0.03325842697000003,-0.03325842697000003,-0.03325842697000014,-0.03325842697000003,-0.03325842697000003,-0.03325842696999992,-0.03325842697000014,-0.03325842697000014,-0.03325842696999992,-0.03325842696999992,-0.03325842697000014,-0.03325842697000014,-0.03325842697000003,-0.03325842697000003,-0.03325842697000014,-0.03325842697000003,-0.03325842697000003,-0.03325842696999992,-0.03325842697000014,Serbia
-0.013666666660000049,-0.01933333333000009,-0.02366666666000017,-0.02933333332999999,-0.03399999999500003,-0.038999999995000145,-0.038999999995000034,-0.03899999999499992,-0.03899999999499981,-0.03899999999499992,-0.038999999995000145,-0.038999999995000034,-0.038999999995000034,-0.038999999995000034,-0.038999999995000145,-0.038999999995000034,-0.038999999995000034,-0.038999999995000145,-0.038999999995000034,-0.03899999999499992,-0.03899999999499981,-0.03899999999499992,-0.038999999995000145,-0.038999999995000034,Moldova
-0.054285715279999924,-0.10936508035999981,-0.3772386656662471,-0.29259048582243063,-0.3757383746994849,-0.3717632257517748,-0.43415136045917546,-0.3053688325582701,-0.4787862612300302,-0.37180021430441035,-0.36634332268906455,-0.42962924031813676,-0.4436253579358663,-0.4659309754197326,-0.41379879010096154,-0.3353146473947506,-0.40958375404299985,-0.39911201978323774,-0.435676226031143,-0.3224278252884295,-0.4858934956390287,-0.38762197681428057,-0.3800402452207424,-0.4411247573464493,Ireland
